Lead_Leg_GRF_mag_max_1_1,Lead_Leg_GRF_max_2_1,Lead_Leg_GRF_min_3_1,Lead_Leg_GRF_mag_Midpoint_FS_Release_4_1,Lead_Leg_GRF@Midpoint_FS_Release_5_1,Lead_Leg_GRF@Midpoint_FS_Release_6_1,Lead_Leg_GRF_Mag@Max_Shoulder_Rot_7_1,Lead_Leg_GRF@Max_Shoulder_Rot_8_1,Lead_Leg_GRF@Max_Shoulder_Rot_9_1,Trunk_COG@Footstrike_10_1,Trunk_COG@Release_11_1,Trunk_COG_Translation_12_1,Trunk_COG@Footstrike_13_1,Trunk_COG@Release_14_1,Trunk_COG_Translation_15_1,HEIGHT_16_1,MASS_17_1
1580.2441,-859.0788,0.3621,0.3724,0.0103,1.4771,1.922,0.4449,1.8034,86.1821,1.8034,86.1821,2326.2261,2106.3928,-1063.1477,2317.3167,2076.7278
-1025.9976,2175.8882,1898.7572,-1059.5867,0.5045,0.475,-0.0294,1.5305,1.7707,0.2402,1.905,97.5219,2294.8052,2047.8365,-1030.264,2251.8325,2018.0051
-987.2567,2166.7622,1912.0576,-1018.8451,0.4998,0.4892,-0.0106,1.4815,1.7452,0.2637,1.905,97.5219,2586.9619,2248.0374,-1271.2108,2466.8855,2118.5325
-1244.4664,2534.7078,2189.7732,-1264.3403,0.4517,0.4169,-0.0348,1.5216,1.7941,0.2725,1.905,97.5219,2465.0083,2160.313,-1195.9225,2449.6018,2160.3132
-1146.1277,2326.5864,2001.1288,-1186.6145,0.4801,0.4571,-0.0229,1.5233,1.7997,0.2764,1.905,97.5219,2302.5742,1908.0686,-1288.8191,0.5063,0.4701
-0.0361,1.4908,1.7994,0.3085,1.905,97.5219,1.905,97.5219,2326.2261,2106.3928,-1063.1477,2317.3167,2076.7278,-1025.9976,2175.8882,1898.7572,-1059.5867
0.5045,0.475,-0.0294,1.5305,1.7707,0.2402,1.905,97.5219,2294.8052,2047.8365,-1030.264,2251.8325,2018.0051,-987.2567,2166.7622,1912.0576,-1018.8451
0.4998,0.4892,-0.0106,1.4815,1.7452,0.2637,1.905,97.5219,2586.9619,2248.0374,-1271.2108,2466.8855,2118.5325,-1244.4664,2534.7078,2189.7732,-1264.3403
0.4517,0.4169,-0.0348,1.5216,1.7941,0.2725,1.905,97.5219,2465.0083,2160.313,-1195.9225,2449.6018,2160.3132,-1146.1277,2326.5864,2001.1288,-1186.6145
0.4801,0.4571,-0.0229,1.5233,1.7997,0.2764,1.905,97.5219,2302.5742,1908.0686,-1288.8191,0.5063,0.4701,-0.0361,1.4908,1.7994,0.3085
1.905,97.5219,1.905,97.5219,2904.9651,2753.1475,-1357.1757,2456.7322,2175.6702,-1104.9845,1983.5549,1622.2449,-1140.2749,0.4003,0.393,-0.0074,1.5449
1.8383,0.2934,1.8796,92.9859,3568.436,3325.7998,-1356.9719,2832.9675,2499.6829,-1307.1085,1827.3354,1472.3915,-1081.4669,0.4037,0.3892,-0.0145,1.5761
1.8792,0.3031,1.8796,92.9859,3167.5486,2986.8303,-1357.3947,2607.4324,2223.1162,-1336.1212,1847.1155,1459.7314,-1131.8125,0.4077,0.3939,-0.0138,1.5733
1.8867,0.3135,1.8796,92.9859,2701.228,2521.3425,-1326.6643,2411.5925,2133.5144,-1089.0425,2014.1194,1655.7356,-1146.7418,0.3866,0.3808,-0.0057,1.5462
1.8527,0.3065,1.8796,92.9859,3546.7312,3272.2981,-1372.205,2539.623,2150.8494,-1338.9924,1881.8541,1489.6082,-1141.3102,0.3772,0.3751,-0.0021,1.6
1.8809,0.2809,1.8796,92.9859,1.8796,92.9859,2904.9651,2753.1475,-1357.1757,2456.7322,2175.6702,-1104.9845,1983.5549,1622.2449,-1140.2749,0.4003,0.393
-0.0074,1.5449,1.8383,0.2934,1.8796,92.9859,3568.436,3325.7998,-1356.9719,2832.9675,2499.6829,-1307.1085,1827.3354,1472.3915,-1081.4669,0.4037,0.3892
-0.0145,1.5761,1.8792,0.3031,1.8796,92.9859,3167.5486,2986.8303,-1357.3947,2607.4324,2223.1162,-1336.1212,1847.1155,1459.7314,-1131.8125,0.4077,0.3939
-0.0138,1.5733,1.8867,0.3135,1.8796,92.9859,2701.228,2521.3425,-1326.6643,2411.5925,2133.5144,-1089.0425,2014.1194,1655.7356,-1146.7418,0.3866,0.3808
-0.0057,1.5462,1.8527,0.3065,1.8796,92.9859,3546.7312,3272.2981,-1372.205,2539.623,2150.8494,-1338.9924,1881.8541,1489.6082,-1141.3102,0.3772,0.3751
-0.0021,1.6,1.8809,0.2809,1.8796,92.9859,1.8796,92.9859,1925.0372,1722.7146,-995.6956,1660.7428,1346.8961,-969.1476,1808.3683,1592.8689,-856.1074
0.321,0.2872,-0.0338,1.3733,1.7522,0.379,1.778,86.1821,1872.0297,1653.3003,-885.5333,1805.9905,1579.2112,-872.8849,1736.7775,1525.249,-830.6638
0.2522,0.2294,-0.0229,1.343,1.6984,0.3554,1.778,86.1821,1845.986,1619.0291,-892.5287,1792.2922,1563.2826,-876.5933,1771.6309,1557.189,-842.6097
0.2842,0.2465,-0.0378,1.4057,1.7371,0.3314,1.778,86.1821,1862.4972,1623.4175,-912.9167,1595.0537,1353.0181,-842.603,1854.271,1619.2731,-903.3031
0.2688,0.229,-0.0399,1.3517,1.7401,0.3884,1.778,86.1821,1982.7794,1751.1162,-932.001,1696.078,1465.1112,-854.1201,1866.4269,1634.3276,-900.1095
